"","ID","lugar_emplazamiento_propiedad","denominacion","espacio_de_memoria","ubicacion","lon","lat"
"622",1086,"POLICÍA PROVINCIAL","COMISARÍA 2ª DE SAN CARLOS DE BARILOCHE",FALSE,"Centro Cívico · SAN CARLOS DE BARILOCHE · BARILOCHE · RÍO NEGRO",-71.3102123,-41.133496
"623",1087,"EJÉRCITO","BATALLÓN DE INGENIEROS DE CONSTRUCCIONES 181                                                                                     UNIDAD DE COMANDO ÁREA 521",FALSE,"Ruta Nac. Nº 22 s/nº · NEUQUÉN · CONFLUENCIA · NEUQUÉN",-68.058706,-38.9594877
"624",1088,"POLICÍA FEDERAL","DELEGACIÓN ""JUJUY"" DE LA POLICÍA FEDERAL",FALSE,"CANÓNIGO GORRITI 259 · SAN SALVADOR DE JUJUY · DR. MANUEL BELGRANO · JUJUY",-65.298609,-24.185598
"625",1089,"POLICÍA PROVINCIAL","COMISARÍA 22ª DE YUTO",FALSE,"SÁNCHEZ DE BUSTAMANTE s/nº · YUTO · LEDESMA · JUJUY",-64.4765383,-23.6391207
"626",1090,"POLICÍA PROVINCIAL","COMISARÍA DE USHUAIA",FALSE,"USHUAIA · TIERRA DEL FUEGO, ANTÁRTIDA E ISLAS DEL ATLÁNTICO SUR",-68.3029511,-54.8019121
"627",1091,"POLICÍA PROVINCIAL","DIVISIÓN DE INVESTIGACIONES DE LA POLICÍA DE CATAMARCA",FALSE,"TUCUMÁN y CHACABUCO · SAN FDO. DEL VALLE DE CATAMARCA · CAPITAL · CATAMARCA",-65.774338,-28.470514
"628",1092,"POLICÍA PROVINCIAL","COMISARÍA 2ª DE BAHÍA BLANCA",FALSE,"ROCA 557 · BAHÍA BLANCA · BUENOS AIRES",-62.2779022,-38.7205125
"629",1093,"POLICÍA PROVINCIAL","COMISARÍA DE OLTA",FALSE,"OLTA · GRAL. BELGRANO · LA RIOJA",-66.2636404,-30.6295532
"630",1094,"POLICÍA PROVINCIAL","COMISARÍA 5ª DE SANTIAGO DEL ESTERO",FALSE,"ALFONSO QUINZIO 3 · SANTIAGO DEL ESTERO · CAPITAL · SANTIAGO DEL ESTERO",-64.2769748,-27.7772799
"631",1095,"POLICÍA PROVINCIAL","COMISARÍA 1ª DE SANTIAGO DEL ESTERO",FALSE,"Av. ROCA (N) 1032 (ubicación aproximada en mapa) · SANTIAGO DEL ESTERO · CAPITAL · SANTIAGO DEL ESTERO",-64.2695692,-27.7696455
